is_member_true,score_lr,score_rf,pred_lr,pred_rf
1,0.5009481698476763,0.585,1,1
1,0.5011281356525615,0.62,1,1
1,0.5012746155067994,0.6,1,1
1,0.5028107947822297,0.635,1,1
1,0.4996847981777406,0.6,0,1
1,0.4991667862974089,0.585,0,1
1,0.49970911547591174,0.59,0,1
1,0.501523369479173,0.58,1,1
1,0.49926829062118305,0.575,0,1
1,0.5015499087168683,0.63,1,1
1,0.5027422938165526,0.65,1,1
1,0.5014905528939754,0.585,1,1
1,0.5015273475944603,0.575,1,1
1,0.5003602721183296,0.56,1,1
1,0.5015144068601441,0.58,1,1
1,0.5029613124484507,0.63,1,1
1,0.5013664189284083,0.59,1,1
1,0.5005158529100855,0.58,1,1
1,0.49990510387187204,0.555,0,1
1,0.5012600145278834,0.6,1,1
1,0.5012434458931616,0.595,1,1
1,0.5004678575874091,0.56,1,1
1,0.5012210007591926,0.595,1,1
1,0.5006710376783396,0.585,1,1
1,0.4998680041035643,0.605,0,1
1,0.5017006703338843,0.65,1,1
1,0.501217185768914,0.585,1,1
1,0.49921647993110085,0.585,0,1
1,0.5013955138454983,0.645,1,1
1,0.500747243929617,0.585,1,1
1,0.49935792776129706,0.585,0,1
1,0.5012924500244675,0.595,1,1
1,0.5007731311263431,0.575,1,1
1,0.49974603416599556,0.57,0,1
1,0.5010102170398515,0.595,1,1
1,0.5024059873779381,0.63,1,1
1,0.4998589745433492,0.605,0,1
1,0.5009316502166183,0.585,1,1
1,0.4999724099813407,0.55,0,1
1,0.4994052363675246,0.58,0,1
1,0.4998506982860489,0.6,0,1
1,0.5010897602918806,0.61,1,1
1,0.5030090076158495,0.645,1,1
1,0.5028063476300262,0.63,1,1
1,0.5016204064263912,0.6,1,1
1,0.5016022825599984,0.63,1,1
1,0.5006990194893678,0.575,1,1
1,0.5005326020655023,0.595,1,1
1,0.5010539738227179,0.59,1,1
1,0.5017970657026227,0.62,1,1
1,0.5001635781443153,0.565,1,1
1,0.5015161651410759,0.635,1,1
1,0.5014823535418131,0.635,1,1
1,0.5016719155075852,0.635,1,1
1,0.49945108121159715,0.595,0,1
1,0.5014397855566927,0.64,1,1
1,0.5028139590882592,0.63,1,1
